college_code,college_name,place,district,branch_code,branch,category,gender,cutoff_rank
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,EWS,BOYS,88222
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,EWS,GIRLS,88222
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,OC,BOYS,45167
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,OC,GIRLS,45167
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,SC,BOYS,169699
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,SC,GIRLS,169699
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,ST,BOYS,169382
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,ST,GIRLS,169382
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,BC_A,BOYS,148809
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,BC_A,GIRLS,158116
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,BC_B,BOYS,128544
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,BC_B,GIRLS,158461
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,BC_C,BOYS,105276
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,BC_C,GIRLS,105276
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,BC_D,BOYS,133151
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,BC_D,GIRLS,134360
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,BC_E,BOYS,105276
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,BC_E,GIRLS,105276
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,EWS,BOYS,105276
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,EWS,GIRLS,143247
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,OC,BOYS,105276
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,OC,GIRLS,105276
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,SC,BOYS,172354
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,SC,GIRLS,175214
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,ST,BOYS,170070
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,ST,GIRLS,178525
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,MEC,MECHANICAL ENGINEERING,BC_A,BOYS,154928
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,MEC,MECHANICAL ENGINEERING,BC_A,GIRLS,177817
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,MEC,MECHANICAL ENGINEERING,BC_B,BOYS,163547
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,MEC,MECHANICAL ENGINEERING,BC_B,GIRLS,163547
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,MEC,MECHANICAL ENGINEERING,BC_C,BOYS,142190
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,MEC,MECHANICAL ENGINEERING,BC_C,GIRLS,142190
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,MEC,MECHANICAL ENGINEERING,BC_D,BOYS,122586
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,MEC,MECHANICAL ENGINEERING,BC_D,GIRLS,161291
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,MEC,MECHANICAL ENGINEERING,BC_E,BOYS,123600
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,MEC,MECHANICAL ENGINEERING,BC_E,GIRLS,162441
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,MEC,MECHANICAL ENGINEERING,EWS,BOYS,161281
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,MEC,MECHANICAL ENGINEERING,EWS,GIRLS,161281
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,MEC,MECHANICAL ENGINEERING,OC,BOYS,39600
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,MEC,MECHANICAL ENGINEERING,OC,GIRLS,39600
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,MEC,MECHANICAL ENGINEERING,SC,BOYS,172635
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,MEC,MECHANICAL ENGINEERING,SC,GIRLS,176589
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,MEC,MECHANICAL ENGINEERING,ST,BOYS,158771
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,MEC,MECHANICAL ENGINEERING,ST,GIRLS,158771
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,CIV,CIVIL ENGINEERING,BC_A,BOYS,135353
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,CIV,CIVIL ENGINEERING,BC_A,GIRLS,162197
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,CIV,CIVIL ENGINEERING,BC_B,BOYS,122203
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,CIV,CIVIL ENGINEERING,BC_B,GIRLS,124232
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,CIV,CIVIL ENGINEERING,BC_C,BOYS,47800
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,CIV,CIVIL ENGINEERING,BC_C,GIRLS,109029
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,CIV,CIVIL ENGINEERING,BC_D,BOYS,110680
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,CIV,CIVIL ENGINEERING,BC_D,GIRLS,110680
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,CIV,CIVIL ENGINEERING,BC_E,BOYS,143713
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,CIV,CIVIL ENGINEERING,BC_E,GIRLS,144598
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,CIV,CIVIL ENGINEERING,EWS,BOYS,111926
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,CIV,CIVIL ENGINEERING,EWS,GIRLS,111926
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,CIV,CIVIL ENGINEERING,OC,BOYS,47800
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,CIV,CIVIL ENGINEERING,OC,GIRLS,109029
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,CIV,CIVIL ENGINEERING,SC,BOYS,168792
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,CIV,CIVIL ENGINEERING,SC,GIRLS,174914
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,CIV,CIVIL ENGINEERING,ST,BOYS,168925
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,CIV,CIVIL ENGINEERING,ST,GIRLS,169615
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,CSD,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),BC_A,BOYS,70795
